2025-10-24 08:04:08 | INFO     | root                           | ================================================================================
2025-10-24 08:04:08 | INFO     | root                           | Plant Health NLP Analysis - Système de logging initialisé
2025-10-24 08:04:08 | INFO     | root                           | Niveau de log: INFO
2025-10-24 08:04:08 | INFO     | root                           | Fichier de log: logs/project.log
2025-10-24 08:04:08 | INFO     | root                           | Console activée: True
2025-10-24 08:04:08 | INFO     | root                           | ================================================================================
2025-10-24 08:04:08 | INFO     | __main__                       | Démarrage du script de scraping BSV
2025-10-24 08:04:08 | INFO     | __main__                       | Plant Health NLP Analysis - Polytech Dijon
2025-10-24 08:04:08 | INFO     | __main__                       | Initialisation du scraper BSV
2025-10-24 08:04:08 | INFO     | __main__                       | ================================================================================
2025-10-24 08:04:08 | INFO     | __main__                       | DÉBUT DU SCRAPING DRAAF
2025-10-24 08:04:08 | INFO     | __main__                       | Région: bourgogne_franche_comte
2025-10-24 08:04:08 | INFO     | __main__                       | Type de culture: grandes_cultures
2025-10-24 08:04:08 | INFO     | __main__                       | Nombre d'années: 3
2025-10-24 08:04:08 | INFO     | __main__                       | Année d'origine: 2025
2025-10-24 08:04:08 | INFO     | __main__                       | Période couverte: 2022 à 2024
2025-10-24 08:04:08 | INFO     | __main__                       | ================================================================================
2025-10-24 08:04:08 | INFO     | __main__                       | URL de base DRAAF: https://draaf.bourgogne-franche-comte.agriculture.gouv.fr/
2025-10-24 08:04:08 | INFO     | __main__                       | URL complète: https://draaf.bourgogne-franche-comte.agriculture.gouv.fr/archivage-bsv-grandes-cultures-r713.html
2025-10-24 08:04:08 | INFO     | __main__                       | Répertoire de sortie: /home/ngoupaye/projets-scolaires/plant_health_NLP_analysis/data/raw/bourgogne_franche_comte
2025-10-24 08:04:08 | INFO     | __main__                       | Récupération de la page principale DRAAF...
2025-10-24 08:04:08 | INFO     | __main__                       | Page récupérée avec succès: https://draaf.bourgogne-franche-comte.agriculture.gouv.fr/archivage-bsv-grandes-cultures-r713.html
2025-10-24 08:04:08 | INFO     | __main__                       | Page principale récupérée avec succès
2025-10-24 08:04:08 | INFO     | __main__                       | Recherche des liens pour les années 2024 à 2021...
2025-10-24 08:04:08 | INFO     | __main__                       | Recherche des liens pour l'année 2024
2025-10-24 08:04:08 | INFO     | __main__                       | Trouvé 1 lien(s) pour l'année 2024
2025-10-24 08:04:08 | INFO     | __main__                       | Recherche des liens pour l'année 2023
2025-10-24 08:04:08 | INFO     | __main__                       | Trouvé 1 lien(s) pour l'année 2023
2025-10-24 08:04:08 | INFO     | __main__                       | Recherche des liens pour l'année 2022
2025-10-24 08:04:08 | INFO     | __main__                       | Trouvé 1 lien(s) pour l'année 2022
2025-10-24 08:04:08 | INFO     | __main__                       | Total de 3 année(s) trouvée(s)
2025-10-24 08:04:08 | INFO     | __main__                       | ================================================================================
2025-10-24 08:04:08 | INFO     | __main__                       | TRAITEMENT DE L'ANNÉE 2024 (1/3)
2025-10-24 08:04:08 | INFO     | __main__                       | ================================================================================
2025-10-24 08:04:08 | INFO     | __main__                       | URL de l'année: https://draaf.bourgogne-franche-comte.agriculture.gouv.fr/bulletins-de-sante-du-vegetal-grandes-cultures-bourgogne-franche-comte-2024-a3284.html
2025-10-24 08:04:08 | INFO     | __main__                       | Récupération de la page pour l'année 2024...
